,manufacturer
875,Ethereal
1538,Matale
156,Argencove
1933,Qantu
645,Crow and Moss
1864,Pitch Dark
1835,Pierre Marcolini
1769,Original Beans (Felchlin)
2285,Taza
417,Cacao Store
2109,"Smooth Chocolator, The"
1364,Landmark (Amano)
2140,Soma
1756,Orfeve
1193,Hotel Chocolat (Coppeneur)
1994,Rogue
1869,Pomm (aka Dead Dog)
2114,"Smooth Chocolator, The"
576,Chokola
677,Dandelion
1984,Robert (aka Chocolaterie Robert)
108,AMMA
2061,Seahorse
165,Artisan du Chocolat
818,Durci
2369,Uncouth
1967,Ritual
1146,hello cocoa (now Markham & Fitz)
1927,Q Chocolate
163,Artisan du Chocolat
495,Cello
1445,Maglio
2387,Valrhona
2246,Sweet Escalier
99,Amedei
573,Chokola
186,Auro
1315,L.A. Burdick (Felchlin)
2018,S.A.I.D.
1853,Piety and Desire
1181,Hotel Chocolat
35,Acalli
878,Exquisito
2390,Valrhona
941,Frederic Blondeel
1242,Johnny Iuzzini
1188,Hotel Chocolat (Coppeneur)
2191,Soma
2245,Sweet Escalier
1408,Love Brown
2321,The Barn
2014,Ruket
1948,Ranger
1400,Lonohana
2226,Stone Grindz
1158,hexx
1675,Nearynogs
181,Askinosie
973,Fresco
2306,Tejas
2016,Ruket
249,Bisou
2354,Tribe
213,Beau Cacao
778,Domori
999,Fresh Coast aka Just Good Choc.
2471,Woodblock
2517,Zotter
1567,Mestico
1050,Georgia Ramon
98,Amedei
1086,Guittard
1579,Michel Cluizel
1133,Heinde & Verre
1891,Pralus
1130,Heilemann
624,Coppeneur
549,Chocolibrium
1517,Mast Brothers
2097,Sjolinds
460,Caribeans
2125,Solkiki
1794,Palette de Bine
998,Fresh Coast aka Just Good Choc.
2208,Spencer
1960,Republica del Cacao (aka Confecta)
1071,Green & Black's (ICAM)
2492,Zak's
1619,Mirzam
843,Eldora
2325,Theo
898,Firetree
827,Eau de Rose
755,Diogo Vaz
465,Carlotta Chocolat
2011,Rozsavolgyi
668,Dandelion
1150,hexx
418,Cacao Store
369,Cacao Atlanta
1678,Neuhaus (Callebaut)
1396,Lonohana
1851,Pierre Marcolini
1625,Mission
356,Bullion
170,Artisan du Chocolat
1209,Hummingbird
1802,Palette de Bine
401,Cacao Prieto
1898,Pralus
1219,Idilio (Felchlin)
2081,Silvio Bessone
1339,La Maison du Chocolat (Valrhona)
1719,Ocho
2134,Solstice
1395,Loiza
1845,Pierre Marcolini
1947,Rancho San Jacinto
2355,Tribe
1174,Holy Cacao
462,Caribeans
265,Bittersweet Origins
794,Dormouse
1665,Naive
1356,Lake Champlain (Callebaut)
403,Cacao Prieto
2298,Tejas
563,Chocovic
2161,Soma
2271,Tablette (aka Vanillabeans)
508,Chequessett
648,Cultura
1510,Mars
2035,Scharffen Berger
151,Arete
215,Beehive
1705,Nuance
2378,Valrhona
2266,Tabal
1347,Laia aka Chat-Noir
2505,Zoto (Chocolatoa)
1447,Malagasy (Chocolaterie Robert)
339,Brasstown aka It's Chocolate
2416,Videri
1498,Marou
1333,La Maison du Chocolat (Valrhona)
1344,La Rifa
2,5150
453,Caoni (Tulicorp)
2173,Soma
244,Beschle (Felchlin)
2316,Terroir
1616,Minimal
2308,Tejas
1790,Palet D'Or
674,Dandelion
762,Dole (Guittard)
795,Dormouse
422,Cacaosuyo
365,Cacao 70
2398,Valrhona
1014,Friis Holm (Bonnat)
2078,Sibu Sura
1260,Kah Kow - USA
2023,Sacred
2428,Violet Sky
1803,Palette de Bine
318,Bonnat
1165,Hoja Verde (Tulicorp)
2197,Soul
203,Bar Au Chocolat
229,Belyzium
352,Bright
1385,Lillie Belle
2005,Rozsavolgyi
2462,Wm
1342,La Rifa
509,Chequessett
117,Ara
1163,Hogarth
519,Chocolarder
1106,Habitual
774,Domori
1577,Michel Cluizel
1494,Maribea
2052,Seaforth
1227,iQ Chocolate
372,Cacao Atlanta
419,Cacaodada
793,Dormouse
1656,Mutari
69,Altus aka Cao Artisan
729,Definite
479,Castronovo
169,Artisan du Chocolat
1264,Kah Kow - USA
2382,Valrhona
765,Domori
2075,Shattell
1679,Neuhaus (Callebaut)
1168,Hoja Verde (Tulicorp)
111,AMMA
463,Caribeans
688,Dandelion (aka Brower Ave)
1392,Lirio
548,Chocolibrium
1155,hexx
454,Captain Pembleton
2265,Tabal
46,Aequare (Gianduja)
1042,Fu Wan
1787,Pacari
450,Caoni (Tulicorp)
1297,Kto
2504,Zokoko
900,Firetree
348,Breeze Mill
2469,Woodblock
880,Feitoria Cacao
1336,La Maison du Chocolat (Valrhona)
455,Captain Pembleton
1509,Mars
246,Beschle (Felchlin)
294,Bonnat
1416,Luker
2007,Rozsavolgyi
1199,Hotel Chocolat (Coppeneur)
1139,Heirloom Cacao Preservation (Guittard)
2217,Starchild
1349,Laia aka Chat-Noir
1270,Kallari (Ecuatoriana)
877,Ethereal
1758,Orfeve
128,Arete
1998,Rogue
1334,La Maison du Chocolat (Valrhona)
2520,Zotter
2396,Valrhona
2216,SRSLY
1432,Madre
1154,hexx
1602,Millcreek Cacao Roasters
747,Dick Taylor
1590,Middlebury
694,Danta
1983,Roasting Masters
670,Dandelion
1536,Matale
601,Cocoa Forge
100,Amedei
837,El Rey
338,Brasstown aka It's Chocolate
277,Black Mountain
261,Bittersweet Origins
1239,Johnny Iuzzini
2284,Taza
714,Davis
983,Fresco
437,C-Amaro
748,Dick Taylor
267,Bittersweet Origins
428,Cacaoyere (Ecuatoriana)
2001,Rogue
777,Domori
115,Animas
639,Cravve
673,Dandelion
2438,Wellington Chocolate Factory
644,Crow and Moss
831,Edelmond
868,Ethel's Artisan (Mars)
565,Chocovivo
966,Fresco
82,Amatller (Simon Coll)
924,Foundry
2221,Starchild
103,Amedei
1068,Great Lakes
1953,Raphio
1902,Pralus
1402,Loon
386,Cacao de Origen
1603,Millcreek Cacao Roasters
1894,Pralus
899,Firetree
1015,Friis Holm (Bonnat)
1862,Pitch Dark
1874,Potomac
1856,Pitch Dark
1462,Manoa
2281,Taucherli
2323,Theo
2042,Scharffen Berger
1051,Georgia Ramon
2337,Tocoti
436,C-Amaro
1799,Palette de Bine
1951,Ranger
1074,Green Door
634,Cravve
2243,Sweet Escalier
1626,Mita
370,Cacao Atlanta
1932,Q Chocolate
279,Black Sheep
848,Encuentro
1448,Malagasy (Chocolaterie Robert)
1236,Jean Marie Auboine
770,Domori
308,Bonnat
2144,Soma
1990,Rogue
1296,Kto
1604,Millesime
17,A. Morin
484,Castronovo
1415,Luker
2302,Tejas
1886,Pralus
1661,Nahua
360,Burnt Fork Bend
1148,Hemisphere
2000,Rogue
978,Fresco
504,Chchukululu (Tulicorp)
695,Danta
756,Diogo Vaz
2145,Soma
1992,Rogue
1265,Kaitxo
1475,Map Chocolate
209,Batch
2365,Two Ravens
1474,Manufaktura Czekolady
121,Arete
296,Bonnat
1113,Habitual
2038,Scharffen Berger
862,Escazu
305,Bonnat
2383,Valrhona
2468,Woodblock
1773,Original Hawaiin Chocolate Factory
90,Ambrosia
1231,Isidro
826,East Van Roasters
1053,Glennmade
241,Beschle (Felchlin)
514,Choco Del Sol
1384,Lilla
2297,Tejas
2050,Scharffen Berger
134,Arete
1122,Harper Macaw
720,Dean and Deluca (Belcolade)
393,Cacao Hunters
1327,La Feverie (Hasnaa)
959,Fresco
2177,Soma
1321,La Chocolaterie Nanairo
1032,Fruition
1418,Lumineux
1369,Letterpress
1918,Pump Street Bakery
630,Coppeneur
1471,Manufaktura Czekolady
2111,"Smooth Chocolator, The"
1027,Fruition
1045,Georgia Ramon
1496,Markham & Fitz
1843,Pierre Marcolini
2334,To'ak
1409,Luisa Abram
1048,Georgia Ramon
1198,Hotel Chocolat (Coppeneur)
883,Felchlin
322,Bonnat
319,Bonnat
1446,Majani
1744,Olivia
230,Belyzium
1700,Noir d' Ebine
2116,Snake & Butterfly
622,Coppeneur
652,Daintree
1639,Molucca
494,Cello
1683,Nibble
732,DeVries
1061,Goodnow Farms
1290,Krak
1191,Hotel Chocolat (Coppeneur)
132,Arete
1098,Guittard
1842,Pierre Marcolini
2347,Treehouse aka Indaphoria
447,Caofiori
286,Blue Bandana
664,Dandelion
44,Aelan
1669,Naive
1655,Musee du Chocolat Theobroma
2186,Soma
490,Castronovo
855,ENNA
130,Arete
311,Bonnat
2385,Valrhona
1709,Nuance
331,Brasstown aka It's Chocolate
384,Cacao de Origen
931,Franceschi
2198,Soul
2525,Zotter
2358,twenty-four blackbirds
501,Chapon
2331,Tibito
912,Fossa
1981,Roasting Masters
1397,Lonohana
853,ENNA
2184,Soma
996,Fresh Coast
2199,Soul
1289,Krak
684,Dandelion
37,Adi aka Fijiana (Easy In Ltd)
739,Dick Taylor
1057,Goodnow Farms
310,Bonnat
1037,Fruition
2366,Un Dimanche A Paris
2164,Soma
2518,Zotter
1118,Haigh
1839,Pierre Marcolini
1499,Marou
2380,Valrhona
2255,Szanto Tibor
559,Chocovic
1022,Friis Holm (Bonnat)
1075,Grenada Chocolate Co.
329,Brasstown
801,Duffy's
1623,Mission
1318,La Cascade du Chocolat
309,Bonnat
577,Chokola
741,Dick Taylor
1674,Nathan Miller
1755,Or Dubh
2495,Zart Pralinen
1730,Odyssey
1255,Kah Kow
2272,Tablette (aka Vanillabeans)
517,Chococard (Lapos)
217,Beehive
928,Foundry
1229,Isidro
483,Castronovo
2110,"Smooth Chocolator, The"
505,Chchukululu (Tulicorp)
733,DeVries
943,Frederic Blondeel
2459,Willie's Cacao
1715,Ocelot
2013,Ruket
977,Fresco
933,Franceschi
2232,Summerbird
1568,Metiisto
951,French Broad
1115,Hachez
557,Chocovic
1944,Raaka
2304,Tejas
2461,Wm
2423,Vintage Plantations
1225,Indi
158,Artisan du Chocolat
1754,Or Dubh
2244,Sweet Escalier
1378,Letterpress
133,Arete
357,Burnt Fork Bend
1532,Mast Brothers
2070,Shark Mountain
2259,Szanto Tibor
1207,Hummingbird
496,Cemoi
856,ENNA
1831,Paul Young
1652,MUCHO
73,Amano
1467,Manoa
214,Beau Cacao
127,Arete
2154,Soma
188,Avanaa
468,Carlotta Chocolat
531,Chocolate Con Amor
742,Dick Taylor
2309,Terroir
2010,Rozsavolgyi
333,Brasstown aka It's Chocolate
919,Fossa
2194,Somerville
2220,Starchild
1171,Holy Cacao
2419,Videri
994,Fresco
2235,Suruca Chocolate
272,Bixby
1162,Hogarth
75,Amano
177,Askinosie
174,Aruntam
1272,Kallari (Ecuatoriana)
1928,Q Chocolate
400,Cacao Prieto
991,Fresco
757,Diogo Vaz
1531,Mast Brothers
415,Cacao Santa Fe (Art of Chocolate)
2252,Szanto Tibor
1598,Mike & Becky
328,Brasstown
1781,Pacari
1084,Guittard
1829,Patric
1018,Friis Holm (Bonnat)
1650,Montecristi
2356,Tribe
2190,Soma
923,Fossa
1584,Michel Cluizel
637,Cravve
1007,Friis Holm
1483,Map Chocolate
892,Finca
1708,Nuance
2333,Tiny House
429,Cacaoyere (Ecuatoriana)
1159,Hogarth
18,A. Morin
857,Enric Rovira (Claudio Corallo)
927,Foundry
2227,StRita Supreme
1350,Laia aka Chat-Noir
1317,L.A. Burdick (Felchlin)
2225,Stone Grindz
2313,Terroir
1688,Night Owl
1073,Green Bean to Bar
1768,Original Beans (Felchlin)
2420,Videri
1102,Guittard
1868,Pomm (aka Dead Dog)
571,Choklat
879,Fearless (AMMA)
2264,Szanto Tibor
276,Black Mountain
2342,Tosier
1528,Mast Brothers
2410,Vicuna
2435,Vivra
1302,K'ul
1268,Kakao
1337,La Maison du Chocolat (Valrhona)
219,Belcolade
545,Chocolates by Josh (Box Chocolate)
1976,Ritual
2192,Soma
2388,Valrhona
1351,Laia aka Chat-Noir
2499,Zart Pralinen
1460,Manoa
1324,La Chorena
893,Finca
2036,Scharffen Berger
