,manufacturer
2349,Triangle Roasters
1804,Palette de Bine
693,Danta
2257,Szanto Tibor
145,Arete
812,Duffy's
949,French Broad
2336,Tobago Estate (Pralus)
1502,Marou
851,Encuentro
1771,Original Beans (Felchlin)
2311,Terroir
2153,Soma
1066,Grand Place
690,Dandelion (aka Brower Ave)
2319,Terroir
0,5150
1766,Original Beans (Felchlin)
605,Compania de Chocolate (Salgado)
2079,Silvio Bessone
1535,Matale
2512,Zotter
1224,Indi
45,Aequare (Gianduja)
2491,Zak's
2002,Rogue
810,Duffy's
1810,Pangea
1836,Pierre Marcolini
1468,Manufaktura Czekolady
2027,Salgado
1765,organicfair
1818,Parliament
1574,Michel Cluizel
1714,Obolo
1100,Guittard
1597,Middlebury
33,Acalli
252,Bisou
351,Bright
344,Brazen
2115,"Smooth Chocolator, The"
1634,Moka Origins
1827,Patric
846,Emily's
232,Benns
2094,Sirene
2479,Xocolatl
1905,Pralus
2076,Sibu
1952,Raoul Boulanger
1226,iQ Chocolate
658,Damson
816,Dulcinea
1326,La Chorena
320,Bonnat
1527,Mast Brothers
1914,Pump Street Bakery
1596,Middlebury
538,Chocolate Tree
967,Fresco
346,Brazen
1161,Hogarth
561,Chocovic
1244,Johnny Iuzzini
2286,Taza
1543,Maverick
306,Bonnat
1599,Mike & Becky
2473,Woodblock
432,C-Amaro
1212,Hummingbird
667,Dandelion
2102,"Smooth Chocolator, The"
2203,Spagnvola
2039,Scharffen Berger
1160,Hogarth
859,Erithaj (A. Morin)
1391,Lindt & Sprungli
1506,Marou
2496,Zart Pralinen
1412,Luisa's Vegan
2379,Valrhona
1925,Pura Delizia
1382,Letterpress
1067,Great Lakes
398,Cacao Hunters
839,El Rey
1387,Lillie Belle
823,Durci
1372,Letterpress
2374,Urzi
1099,Guittard
337,Brasstown aka It's Chocolate
456,CAR Artisan
2139,Soma
2476,Xocolatisimo
1606,Millesime
582,Christopher Elbow
1949,Ranger
1899,Pralus
498,Chaleur B
671,Dandelion
1026,Fruition
1511,Mars
110,AMMA
222,Belcolade
2229,StRita Supreme
32,A. Morin
1214,Idilio (Felchlin)
522,Chocolarder
1955,Raphio
947,French Broad
1959,Raw Cocoa
606,Compania de Chocolate (Salgado)
1267,Kaitxo
1512,Marsatta
1145,hello cocoa (now Markham & Fitz)
1760,organicfair
882,Feitoria Cacao
669,Dandelion
1646,Monsoon
2112,"Smooth Chocolator, The"
1180,Hotel Chocolat
2237,Svenska Kakaobolaget
1282,Kerchner
872,Ethel's Artisan (Mars)
1388,Lillie Belle
260,Bittersweet Origins
1455,Mana
2392,Valrhona
1617,Mirzam
1642,Momotombo
189,Avanaa
1478,Map Chocolate
2413,Videri
1748,Omanhene
2073,Shark's
970,Fresco
2239,sweet beans
1985,Robert (aka Chocolaterie Robert)
968,Fresco
610,Conjure
2195,Soul
271,Bixby
586,Christopher Elbow
302,Bonnat
1261,Kah Kow - USA
817,Durand
1143,Heirloom Cacao Preservation (Zokoko)
2401,Vanleer (Barry Callebaut)
1888,Pralus
1338,La Maison du Chocolat (Valrhona)
1844,Pierre Marcolini
532,Chocolate Con Amor
2287,TCHO
1285,Kiskadee
1727,Odyssey
1089,Guittard
1076,Grenada Chocolate Co.
2059,Seahorse
1132,Heinde & Verre
119,Ara
421,Cacaodada
2408,Vicuna
2200,Soul
975,Fresco
2361,twenty-four blackbirds
1676,Neuhaus (Callebaut)
2205,Spencer
2069,Shark Mountain
355,Bullion
2033,Santander (Compania Nacional)
420,Cacaodada
208,Baravelli's
2234,Suruca Chocolate
1628,Moho
77,Amano
101,Amedei
608,Confluence
1280,Kasama
1838,Pierre Marcolini
779,Domori
1521,Mast Brothers
1200,Hotel Chocolat (Coppeneur)
710,Dark Forest
1303,K'ul
1096,Guittard
5,5150
1587,Middlebury
2307,Tejas
1578,Michel Cluizel
171,Artisan du Chocolat
2015,Ruket
1774,Orquidea
553,Chocosol
364,Cacai Cacao
628,Coppeneur
1441,Madre
1298,Kto
378,Cacao Betulia
1883,Pralus
1404,Love Bar
2485,Zac Squared
263,Bittersweet Origins
1359,L'Amourette
2502,Zokoko
1281,Kasama
70,Altus aka Cao Artisan
661,Dancing Lion
218,Beehive
926,Foundry
825,East Van Roasters
909,Forever Cacao
764,Dolfin (Belcolade)
2120,Soklet
930,Foundry
1837,Pierre Marcolini
2393,Valrhona
1759,Orfeve
1438,Madre
521,Chocolarder
1901,Pralus
1055,Goodnow Farms
2126,Solomons Gold
2328,Theobroma
1997,Rogue
1816,Parliament
1196,Hotel Chocolat (Coppeneur)
2253,Szanto Tibor
2166,Soma
2482,Xocolla
1832,Peppalo
1554,Meadowlands
392,Cacao Hunters
915,Fossa
908,FJAK
144,Arete
161,Artisan du Chocolat
282,Blanxart
3,5150
845,Emerald Estate
2270,Tablette (aka Vanillabeans)
1711,Nugali
1941,Raaka
1733,Odyssey
895,Finnia
1742,Olive and Sinclair
560,Chocovic
2258,Szanto Tibor
2450,Wilkie's Organic
2096,Sirene
2060,Seahorse
1651,Montecristi
205,Bar Au Chocolat
1405,Love Brown
1136,Heirloom Cacao Preservation (Guittard)
340,Brasstown aka It's Chocolate
179,Askinosie
1919,Pump Street Bakery
1555,Mellow
1309,L.A. Burdick (Felchlin)
1826,Patric
471,Casa Lasevicius
257,Bittersweet Origins
1942,Raaka
1352,Laia aka Chat-Noir
14,A. Morin
1548,McGuire
615,Coppeneur
2174,Soma
1529,Mast Brothers
1870,Poppy and Peep
489,Castronovo
1429,Madecasse (Cinagra)
1721,Ocho
1363,Land
466,Carlotta Chocolat
2151,Soma
958,Fresco
178,Askinosie
2024,Salgado
1783,Pacari
2082,Silvio Bessone
870,Ethel's Artisan (Mars)
625,Coppeneur
1798,Palette de Bine
1486,Map Chocolate
1946,Rain Republic
2233,Summerbird
771,Domori
1533,Mast Brothers
1608,Millesime
1355,Lajedo do Ouro
1003,Friis Holm
2305,Tejas
799,Duffy's
1622,Misina
1353,Laia aka Chat-Noir
1421,Lumineux
1785,Pacari
172,Artisan du Chocolat
162,Artisan du Chocolat
2025,Salgado
706,Dark Forest
293,Bonnat
969,Fresco
1530,Mast Brothers
1667,Naive
160,Artisan du Chocolat
2326,Theo
442,Cao
409,Cacao Sampaka
840,El Rey
1488,Map Chocolate
1740,Olive and Sinclair
200,Bankston
2068,Shark Mountain
1566,Mesocacao
1246,Johnny Iuzzini
323,Bouga Cacao (Tulicorp)
2377,Vaka
9,A. Morin
1299,Kto
2402,Vao Vao (Chocolaterie Robert)
515,Choco Dong
2250,Szanto Tibor
2165,Soma
2467,Woodblock
1515,Martin Mayer
1637,Molucca
2513,Zotter
1433,Madre
581,Christopher Elbow
1746,Olivia
663,Dandelion
2503,Zokoko
1739,Oialla by Bojessen (Malmo)
989,Fresco
1968,Ritual
697,Danta
202,Bar Au Chocolat
2417,Videri
1728,Odyssey
1939,Quetzalli (Wolter)
543,Chocolate Tree
1153,hexx
1879,Potomac
1872,Poppy and Peep
1890,Pralus
1306,Kyya
2093,Sirene
1684,Nibble
2187,Soma
962,Fresco
2275,Tan Ban Skrati
1970,Ritual
1865,Pollinator
1550,Meadowlands
2267,Tabal
1940,Raaka
1470,Manufaktura Czekolady
678,Dandelion
1585,Michel Cluizel
476,Castronovo
446,Caofiori
807,Duffy's
1620,Mirzam
2350,Triangle Roasters
1417,Lumineux
728,Definite
781,Domori
580,Christopher Elbow
787,Domori
891,Finca
842,El Rey
2065,Shane Chocolate Works
662,Dancing Lion
283,Blue Bandana
2256,Szanto Tibor
1701,Nova Monda
711,Davis
566,Chocovivo
2202,Spagnvola
1360,L'Amourette
896,Finnia
633,Cravve
1565,Mesocacao
957,Fresco
